candidate,fold_idx,train_start,train_end,test_start,test_end,chosen_params,oos_pf,oos_avg_trade_pct,oos_trades,oos_return_pct,oos_maxdd_pct
st-adx-donchexit::fixed,2,,,2023-01-01,2023-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",2.2142358824462915,1.520602246060787,10,10.933276863906816,-15.365847528126508
st-adx-donchexit::fixed,3,,,2023-07-01,2023-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.2603395268007633,-1.0847786507602764,11,-10.252399641521482,-15.951523967859782
st-adx-donchexit::fixed,4,,,2024-01-01,2024-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.0771689114761933,-2.218731660146034,9,-12.425516654500857,-14.80113915898068
st-adx-donchexit::fixed,5,,,2024-07-01,2024-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",1.9295783784964131,1.0560466229363907,9,12.177083017243095,-6.462711191517512
st-adx-donchexit::fixed,6,,,2025-01-01,2025-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",0.29588644059785796,-1.3869526817430922,11,-8.921348737195878,-18.38223302453231
st-adx-donchexit::fixed,7,,,2025-07-01,2025-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_adx_min"": 25, ""st_donch_period"": 20}",1.234715888996085,0.24774275060976958,10,9.483451003163568,-7.952048538595379
st-donchexit::long::fixed,0,,,2022-01-01,2022-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20, ""_st_long_only"": true}",0.7936342822645098,-0.5174083512902272,16,-9.017800796486974,-15.72967062190621
st-donchexit::long::fixed,1,,,2022-07-01,2022-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20, ""_st_long_only"": true}",0.500332803969891,-0.7734275838647164,17,-12.607256235127885,-19.422192788532854
st-donchexit::long::fixed,2,,,2023-01-01,2023-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20, ""_st_long_only"": true}",2.4883924577970964,1.862460623601958,14,22.19772356841412,-18.572968052705264
st-donchexit::long::fixed,3,,,2023-07-01,2023-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20, ""_st_long_only"": true}",1.3472820235808962,0.27442629571017285,17,16.017751271008063,-16.059899832268986
st-donchexit::long::fixed,4,,,2024-01-01,2024-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20, ""_st_long_only"": true}",1.9373535551133974,0.9693575052911241,15,21.56449231312112,-22.558092097594983
st-donchexit::long::fixed,5,,,2024-07-01,2024-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20, ""_st_long_only"": true}",2.1184011018330984,1.4961707413263303,15,16.57451210606027,-12.838628268306651
st-donchexit::long::fixed,6,,,2025-01-01,2025-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20, ""_st_long_only"": true}",0.8179899865127642,-0.38990302823631584,17,2.5691868619774905,-19.890890635494895
st-donchexit::long::fixed,7,,,2025-07-01,2025-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20, ""_st_long_only"": true}",0.40133814594669315,-0.9921426885902362,16,-11.60654692615164,-18.089003024953854
