candidate,fold_idx,train_start,train_end,test_start,test_end,chosen_params,oos_pf,oos_avg_trade_pct,oos_trades,oos_return_pct,oos_maxdd_pct
st-donchexit,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""st_period"": 10, ""st_multiplier"": 3.0, ""st_donch_period"": 20}",1.3709273955687185,0.3323962771967004,20,26.625786296197653,-21.689621867174925
st-donchexit,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20}",1.9391524548412251,0.9754701854865377,18,26.098940269667192,-25.25982391717442
st-donchexit,5,2022-07-01,2024-06-30,2024-07-01,2024-12-31,"{""st_period"": 14, ""st_multiplier"": 3.0, ""st_donch_period"": 20}",1.5004455701934756,0.593907243472569,20,13.439705508856758,-14.337409952563752
st-donchexit,6,2023-01-01,2024-12-31,2025-01-01,2025-06-30,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20}",0.5953966749624535,-0.7175073063665716,25,-9.043343402876891,-26.138919042821318
st-donchexit,7,2023-07-01,2025-06-30,2025-07-01,2025-12-31,"{""st_period"": 10, ""st_multiplier"": 2.5, ""st_donch_period"": 20}",0.46454229984198286,-0.8528737111655138,27,-20.418456902957736,-22.31450517609258
st-voladapt,0,2020-01-01,2021-12-31,2022-01-01,2022-06-30,"{""st_vol_lookback"": 100, ""st_mult_low"": 2.0, ""st_mult_high"": 3.5, ""st_period"": 10}",0.8008576130773044,-0.48514504149794746,33,-7.100962125307575,-13.289658549032414
st-voladapt,1,2020-07-01,2022-06-30,2022-07-01,2022-12-31,"{""st_vol_lookback"": 100, ""st_mult_low"": 2.0, ""st_mult_high"": 3.5, ""st_period"": 10}",1.2708538640855063,0.25141659679919215,33,3.419742107150614,-18.69518070735228
st-voladapt,2,2021-01-01,2022-12-31,2023-01-01,2023-06-30,"{""st_vol_lookback"": 100, ""st_mult_low"": 2.0, ""st_mult_high"": 3.5, ""st_period"": 10}",1.4932502130744334,0.5177487975312367,28,16.94036334514031,-16.543306702413318
st-voladapt,3,2021-07-01,2023-06-30,2023-07-01,2023-12-31,"{""st_vol_lookback"": 100, ""st_mult_low"": 2.0, ""st_mult_high"": 4.0, ""st_period"": 10}",0.6273352961109517,-0.44951256238172643,29,-10.719788961775844,-19.2943329226274
st-voladapt,4,2022-01-01,2023-12-31,2024-01-01,2024-06-30,"{""st_vol_lookback"": 100, ""st_mult_low"": 2.0, ""st_mult_high"": 4.0, ""st_period"": 10}",0.8442751893232947,-0.2807699504190908,32,-3.9241507227431804,-14.296635125515046
